tileswide 16
tileshigh 16
tilewidth 16
tileheight 16

layer 0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
6,3,4,4,4,4,4,4,4,4,5,62,62,62,62,62,
6,59,60,60,57,116,116,116,116,116,117,6,6,62,62,62,
6,59,60,60,61,62,62,62,62,62,62,6,6,62,62,62,
6,115,116,116,117,6,6,6,6,6,6,62,6,62,62,62,
6,6,62,62,62,62,62,62,62,62,6,6,6,62,62,6,
6,6,6,62,6,6,6,62,6,6,6,6,6,62,62,6,
6,6,62,62,6,6,62,62,62,62,62,62,62,62,62,6,
6,6,62,62,6,6,62,6,6,62,6,6,62,62,62,6,
6,6,6,62,62,6,6,3,4,4,4,5,6,62,62,6,
6,6,6,6,62,62,6,59,1344,2,2,61,62,62,62,6,
6,6,6,6,6,62,62,115,116,116,116,117,6,62,62,6,
6,6,6,6,6,6,6,6,6,6,6,6,6,62,62,6,
6,6,62,62,62,62,62,62,62,62,62,62,62,62,6,6,
6,6,6,6,6,6,6,6,62,62,62,62,62,62,6,6,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,464,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,400,458,458,458,458,458,458,
458,458,458,458,458,398,458,458,458,457,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,400,457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,402,-1,-1,-1,-1,-1,-1,-1,339,508,341,-1,
-1,-1,-1,-1,622,-1,-1,-1,-1,-1,-1,-1,563,396,565,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451,620,453,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,282,282,282,-1,

